# I. CNS-neuroinvasive / neurotropic pathogens
# Entries are grouped by organism type.
# Some opportunistic CNS pathogens also function as contamination sentinels.

lichtheimia_corymbifera	GCA_000697475.1
fusarium_solani	GCF_023522795.1
fusarium_oxysporum	GCF_013085055.1
scedosporium_apiospermum	GCF_000732125.1

## Sinonasal and oral anaerobic background
prevotella_melaninogenica	GCF_000144405.1
fusobacterium_nucleatum	GCF_003019295.1
veillonella_parvula	GCF_900186885.1
finegoldia_magna	GCF_002243135.1
anaerococcus_prevotii	GCF_000024105.1
peptoniphilus_harei	GCF_016726485.1
porphyromonas_gingivalis	GCF_000010505.1

## Nasal and respiratory viruses
rhinovirus_a	GCF_002816835.1
rhinovirus_b14	GCF_000861265.1
rhinovirus_c	GCF_000872325.1
respiratory_syncytial_virus_a	GCF_000856445.1
respiratory_syncytial_virus_b	GCA_003267885.1
influenza_b	GCF_000820495.2
coronavirus_229e	GCF_000853505.1
coronavirus_nl63	GCF_000853865.1
coronavirus_oc43	GCF_003972325.1
coronavirus_hku1	GCF_002816235.1
metapneumovirus	GCF_002815375.1
hpiv1	GCF_000848705.1
hpiv2	GCF_000863525.1
hpiv3	GCF_000850205.1
hpiv4a	GCF_000910675.1
HAdV_C	GCF_000845085.1
sars_cov_2_wuhan_hu_1	GCF_009858895.2

# V. Laboratory and environmental contamination sentinels
# These entries represent cell-culture, reagent, water, and general laboratory background.

## Cell-culture mycoplasma and acholeplasma sentinels
mesomycoplasma_hyorhinis	GCF_001705605.1
metamycoplasma_orale	GCF_000420105.1
metamycoplasma_salivarium	GCF_900660445.2
mycoplasmopsis_arginini	GCF_001547975.1
mycoplasmopsis_fermentans	GCF_000209735.1
metamycoplasma_hominis	GCF_000935865.1
acholeplasma_laidlawii	GCF_000018785.1
mycoplasmoides_pirum	GCF_000685905.1
mycoplasma_bovis	GCF_000183385.1

## Reagent, water, and environmental bacterial sentinels
delftia_acidovorans	GCF_000018665.1
bradyrhizobium_diazoefficiens	GCF_000011365.1
bradyrhizobium_japonicum	GCF_013752735.1
cupriavidus_metallidurans	GCF_000196015.1
cupriavidus_necator	GCF_000009285.1
ralstonia_pickettii	GCF_014142625.1
ralstonia_insidiosa	GCF_001663855.1
ralstonia_pseudosolanacearum	GCF_000009125.1
sphingomonas_paucimobilis	GCF_016027095.1
methylorubrum_extorquens	GCF_000083545.1
stenotrophomonas_maltophilia	GCF_020641395.2
burkholderia_cepacia	GCF_009586235.1

## General laboratory fungal and yeast sentinels
saccharomyces_cerevisiae	GCF_000146045.2

# VI. Computational decoy controls
# These are natural-organism decoys rather than logically absolute negatives.

## Bacterial decoys
aquifex_aeolicus_vf5	GCF_000008625.1
thermus_thermophilus_hb8	GCF_000091545.1
deinococcus_radiodurans	GCF_020546685.1

## Fungal decoys
mycosarcoma_maydis	GCF_000328475.2
schizosaccharomyces_pombe	GCF_000002945.2

## Protist decoys
tetrahymena_thermophila	GCF_000189635.1
paramecium_tetraurelia	GCF_000165425.1
